event,event_label,event_type,source,overall_pairwise_kappa_mean
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,X,0.313464018894418
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,SENTIVENT,0.28010200954111164
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,X,0.0
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,SENTIVENT,0.16229124789825664
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,X,0.21557830570023645
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,SENTIVENT,0.44705282132227103
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,X,0.039639428160106224
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,SENTIVENT,0.2980372008592222
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,X,0.0
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,SENTIVENT,0.17769717807668473
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,X,0.3183837042720356
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,SENTIVENT,0.41507459860401036
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,X,0.2670390574955009
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,SENTIVENT,0.15710578611122264
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,X,0.5070357800866275
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,SENTIVENT,0.44681686745640237
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,X,0.2817397977909176
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,SENTIVENT,0.18478143763491378
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,Facility,X,0.3499527533490638
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,Facility,SENTIVENT,0.29222358401425613
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,Legal,X,0.3516332990505443
aapl08_legal_proceeding_missing_date,apple vs qualcomm the itc is in it | Legal.Proceeding,Legal,SENTIVENT,0.21610648830474352
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,Investment,X,0.3223343798067716
duk02_investment_missing_date,duke energy doles out 11 m in water resources grants | Investment,Investment,SENTIVENT,0.262577768787258
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,X,0.10580207477861873
cmg03_salesvolume_decrease_salesvolume_missing_date,chipotle removes malware after breach strikes payment systems | SalesVolume.Decrease_SalesVolume,CSR/Brand,SENTIVENT,0.32031520444320566
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,Legal,X,0.0
wfc00_legal_conviction_settlement_missing_date,wells fargo found liable in abusive tax shelter scheme | Legal.Conviction/Settlement,Legal,SENTIVENT,0.18928555215913967
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,Investment,X,0.21066045052827606
dis01_rating_maintain_missing_date,this hedge fund bought 250 million of disney stock should yo | Rating.Maintain,Investment,SENTIVENT,0.3339983855348664
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,X,0.2431706425123171
cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,SENTIVENT,0.26348134401606693
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,X,0.16355019744850255
goog02_legal_conviction_settlement_missing_date,google execs hunker down for summer fight with eu as fines loom | Legal.Conviction/Settlement,Legal,SENTIVENT,0.23079807108033937
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,Rating,X,0.04473304473304473
aapl12_securityvalue_increase_securityvalue_missing_date,apple s stock jumps after keybanc upgrade to buy rating | SecurityValue.Increase_SecurityValue,Rating,SENTIVENT,0.33390240666102733
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,Dividend,X,0.32478336232277444
aapl10_dividend_payment_missing_date,apple s rain of cash washes away debt doubts | Dividend.Payment,Dividend,SENTIVENT,0.23590734396261862
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,X,0.4266921463902888
cvx00_csr_brand_missing_date,chevron investors back off from climate change proposal | CSR/Brand,CSR/Brand,SENTIVENT,0.38463069116098225
goog11_securityvalue_increase_securityvalue_missing_date,earnings preview what to expect from alphabet on thursday | SecurityValue.Increase_SecurityValue,SecurityValue,X,-0.03333333333333333
