event,event_label,event_type,tweet_count,x_sentivent_similarity,x_coherence_tfidf,sentivent_self_similarity,alignment_gap
ba02_securityvalue_increase_securityvalue_missing_date,boeing roundup boeing lands deals with saudi arabia | SecurityValue.Increase_SecurityValue,Deal,2,0.42333517081678773,0.963806692286632,1.0,0.5404715214698442
ba15_securityvalue_increase_securityvalue_missing_date,should boeing buy ge aviation | SecurityValue.Increase_SecurityValue,Merger/Acquisition,10,0.2709655269259163,0.694081592409167,1.0,0.4231160654832507
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,50,0.23918329053367218,0.6620262023893322,1.0,0.42284291185566003
ge10_securityvalue_decrease_securityvalue_missing_date,ge s stock tumbles toward second 6 session losing streak this m | SecurityValue.Decrease_SecurityValue,SecurityValue,10,0.2174535994445001,0.8223905700852541,1.0,0.6049369706407539
gm03_salesvolume_decrease_salesvolume_missing_date,general motors cadillac sales are booming in china | SalesVolume.Decrease_SalesVolume,SalesVolume,12,0.2018165097550305,0.6980958003651873,1.0,0.49627929061015674
f14_financialreport_miss_missing_date,ford is the next ge and shorts should be salivating | FinancialReport.Miss,Macroeconomics,14,0.19720046558488474,0.7001708672255961,1.0,0.5029704016407113
ge11_securityvalue_increase_securityvalue_missing_date,ge s stock bounces sharply to pace dow gainers | SecurityValue.Increase_SecurityValue,SecurityValue,8,0.19575217299221892,0.8424555401350751,1.0,0.6467033671428561
ba06_salesvolume_increase_salesvolume_missing_date,aircraft leasing firms lift boeing s dreamliner higher at the p | SalesVolume.Increase_SalesVolume,SalesVolume,5,0.18556544565611202,0.7984383524539653,1.0,0.6128729067978533
dis04_salesvolume_decrease_salesvolume_missing_date,disney s global theme parks saw attendance decline in 2016 bu | SalesVolume.Decrease_SalesVolume,SalesVolume,18,0.17999774510378963,0.7682573740990724,1.0,0.5882596289952827
abbv13_securityvalue_increase_securityvalue_missing_date,the hot stock biggest loser abbvie wynn resorts | SecurityValue.Increase_SecurityValue,SecurityValue,8,0.17912263130453848,0.8369276176721254,1.0,0.657804986367587
pg05_expense_decrease_expense_missing_date,procter gamble co s proxy fight what investors need to know | Expense.Decrease_Expense,Expense,2,0.17844234545176663,0.8879011958082884,1.0,0.7094588503565218
nem06_securityvalue_increase_securityvalue_missing_date,newmont mining is investors gold stock to buy | SecurityValue.Increase_SecurityValue,SecurityValue,15,0.17475280463203158,0.7215355140657973,1.0,0.5467827094337657
chk00_rating_pricetarget_missing_date,was the merrill lynch downgrade of chesapeake justified | Rating.PriceTarget,Rating,2,0.17360834669306738,1.0000000000000002,1.0,0.8263916533069329
amd06_securityvalue_decrease_securityvalue_missing_date,amd s stock tumbles bringing win streak to an abrupt end | SecurityValue.Decrease_SecurityValue,SecurityValue,19,0.17106648937180108,0.7790038658977533,1.0,0.6079373765259521
