audit_row_id,event,event_label,event_type,x_query_used,tweet_id,author,engagement_score,post_text,relevance_label,relevance_notes
1,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",1996963350161371496,Clare97097915,1,@aswren @ViscountViktor Also de regulate. Some of the brightest minds are at the big four and in house compliance. They should be released for real work. Public sector employment. End nearly all of it. De regulate education and allow innovation.,,
2,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",2016239617826038030,FlipOffFelix,10,"@Jennie_SC1 @AngryMemasGhost @Supersonic99076 @Nicoleg425 @2457klhu @42Gnome @HamRadioJoe @Kelledin @ALibsBabaYaga @Jasontwodollars @TakesToez @CivilLost @factsmatter420 @AllTheThings79 @VinceGottalotta @scottstocker4 @Bruh888888888 @odktiger @TreatHunterDog @BigSpud18 @doonslayer @ReportedAmerica @astragal @aurvandill19999 @basil_ireton @whagyjr @lijareturnz @GojiraStompz @TheKSLiberal @gdoughdoc2 @nikkisixx12266 @Clarity_Esper @MidgardNextStop @proundpapaof3 @Pete_Woodward @dulcieburt @ColinRoberts843 @Not_Jack_2024 @_Kel_Varnsen_ @medusa56944 @Krensharpaw @CR1949 @Sinner_Lilith @TeekeeMon @gvnzng @lulzyalldumbAF @GojiraNeverdies @Reprobus5 @MALpoolmaint @erika_at_panama Key word ""was"" a nurse. When did his employment end?",,
3,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",1991472848322588815,ChaosAgent_42,33,WHEN HE PROMISED: Lower prices Record employment End to Ukraine war HE MEANT Gold decorations in his office A ballroom Tariffs on imports paid by us,,
4,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",2028635616548643252,owleealeckza,1,Didn't she do something funky on the employment end of the business? Or am I misremembering?,,
5,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",1999161034347892986,LWuyaya,6,@DeepDishEnjoyer what’s the doctor employment end of this? Are they just remotely going through cases the same way radiologists do?,,
6,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",2006745132977238034,BnWNoName,1,"@SecKennedy @robbystarbuck In the same light, employers shouldn't be able to investigate my body's chemical composition as a condition for employment. End drug tests from employers. Don't buy insurers' stories. Passing a drug test doesn't prove you'll never show up high or under-perform. Fire bad workers",,
7,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",2024889118669390144,DocDonUH60M,4,"@JessicaTarlov Jessica, Jessica, where in the hell do you get your total employment from? I get mine from the Bureau of Labor Statistics! The actual figure for total employment end of 2024 is 170 million, higher than the high in 2019. BLS projects 175.2 million in 2034! See Next",,
8,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",1975629113705758817,WisconsinDummy,35,"@honestpollster We’re suffering too much to be loyal to any ideology. If nothing is done to help housing, end discrimination against Gen z in hiring practices, end ghost jobs, increase employment, end debt, and increase affordability, we will abandon Republicans. We may even do it next year.",,
9,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",2003191448754442658,kene_asogwa,12,Relationship no be employment End.,,
10,cmg00_employment_end_missing_date,chipotle cfo says we were losing our edge even before ecoli | Employment.End,CSR/Brand,"""chipotle cfo says we were losing our edge"" OR ""Employment.End"" -is:retweet lang:en",1972816484146483278,NASA_Tim,2,"@CynicalPublius It’s both technically true, and completely false. All the people who took the Trump buyout have their term of employment end September 30. They may have put the paperwork in as far back as January, but the effective end date is September 30.",,
