event,event_label,event_date,status,selected_source,selected_title,selected_url,selected_ranking_score,candidate_count,search_endpoint,query_used,unique_threads
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,collected,x,,,,43,search/all,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",43
amzn11_salesvolume_increase_salesvolume_missing_date,22 million amazon echo smart speakers to be sold in 2017 drivi | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""22 million amazon echo smart speakers to be"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
amzn04_revenue_increase_revenue_missing_date,3 reasons amazon is nt done growing yet | Revenue.Increase_Revenue,,collected,x,,,,9,search/all,"""3 reasons amazon is nt done growing yet"" OR ""Revenue.Increase Revenue"" -is:retweet lang:en",9
amzn02_salesvolume_increase_salesvolume_missing_date,3 reasons why amazon is scary to netflix | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""3 reasons why amazon is scary to netflix"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
aal01_facility_open_missing_date,900m investment at phl to bring new traffic control tower re | Facility.Open,,collected,x,,,,50,search/all,"""900m investment at phl to bring new traffic"" OR ""Facility.Open"" -is:retweet lang:en",50
fb02_product_service_launch_missing_date,a look at facebook s fastest growing market | Product/Service.Launch,,collected,x,,,,35,search/all,"""a look at facebook s fastest growing market"" OR ""Product/Service.Launch"" -is:retweet lang:en",35
wmt01_securityvalue_decrease_securityvalue_missing_date,a look at walmart s valuation after fiscal 1q18 results | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""a look at walmart s valuation after fiscal"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
ge02_securityvalue_decrease_securityvalue_missing_date,a simple ge trade for long suffering investors | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""a simple ge trade for long suffering investors"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
abbv00_product_service_trial_missing_date,abbvie demonstrates leadership in gastroenterology and hepatolog | Product/Service.Trial,,collected,x,,,,1,search/all,"""abbvie demonstrates leadership in gastroenterology and hepatolog"" OR ""Product/Service.Trial"" -is:retweet lang:en",1
abbv07_rating_buyoutperform_missing_date,abbvie has the most valuable late stage pipeline but is its s | Rating.BuyOutperform,,collected,x,,,,5,search/all,"""abbvie has the most valuable late stage pipeline"" OR ""Rating.BuyOutperform"" -is:retweet lang:en",5
abbv05_legal_conviction_settlement_missing_date,abbvie ordered by jury to pay 15 million to depakote victim | Legal.Conviction/Settlement,,collected,x,,,,25,search/all,"""abbvie ordered by jury to pay 15 million"" OR ""Legal.Conviction/Settlement"" -is:retweet lang:en",25
abbv11_product_service_trial_missing_date,abbvie overpromises | Product/Service.Trial,,collected,x,,,,1,search/all,"""abbvie overpromises"" OR ""Product/Service.Trial"" -is:retweet lang:en",1
abbv09_securityvalue_increase_securityvalue_missing_date,abbvie scores 2 wins 1 threatens regeneron | SecurityValue.Increase_SecurityValue,,collected,x,,,,4,search/all,"""abbvie scores 2 wins 1 threatens regeneron"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",4
abbv08_rating_pricetarget_missing_date,abbvie shares surge 2 on q2 profit revenue beats | Rating.PriceTarget,,collected,x,,,,31,search/all,"""abbvie shares surge 2 on q2 profit revenue"" OR ""Rating.PriceTarget"" -is:retweet lang:en",31
abbv06_profit_loss_increase_profit_loss_missing_date,abbvie stock just hit a 52 week high here s why it should go | Profit/Loss.Increase_Profit/Loss,,no_results,x,,,,0,search/all,"""abbvie stock just hit a 52 week high"" OR ""Profit/Loss.Increase Profit/Loss"" -is:retweet lang:en",0
abbv10_securityvalue_increase_securityvalue_missing_date,abbvie you re upgrading it now | SecurityValue.Increase_SecurityValue,,collected,x,,,,5,search/all,"""abbvie you re upgrading it now"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",5
amd13_rating_sellunderperform_missing_date,advanced micro sell says morgan stanley expectations too h | Rating.SellUnderperform,,collected,x,,,,6,search/all,"""advanced micro sell says morgan stanley expectations too"" OR ""Rating.SellUnderperform"" -is:retweet lang:en",6
aal08_product_service_launch_missing_date,airberlin goes bankrupt soon after announcing major chicago expa | Product/Service.Launch,,collected,x,,,,50,search/all,"""airberlin goes bankrupt soon after announcing major chicago"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
ba11_securityvalue_increase_securityvalue_missing_date,airbus drops this bomb on boeing at the dubai airshow | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""airbus drops this bomb on boeing at the"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
ba06_salesvolume_increase_salesvolume_missing_date,aircraft leasing firms lift boeing s dreamliner higher at the p | SalesVolume.Increase_SalesVolume,,collected,x,,,,5,search/all,"""aircraft leasing firms lift boeing s dreamliner higher"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",5
aal12_profit_loss_decrease_profit_loss_missing_date,airlines have a cost problem lrb and it s not 12 snack boxe | Profit/Loss.Decrease_Profit/Loss,,no_results,x,,,,0,search/all,"""airlines have a cost problem lrb and it"" OR ""Profit/Loss.Decrease Profit/Loss"" -is:retweet lang:en",0
goog07_securityvalue_decrease_securityvalue_missing_date,alphabet s dive continues after a weak earnings report | SecurityValue.Decrease_SecurityValue,,collected,x,,,,1,search/all,"""alphabet s dive continues after a weak earnings"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",1
goog05_product_service_launch_missing_date,alphabet s nest brings smart devices to australian homes | Product/Service.Launch,,collected,x,,,,40,search/all,"""alphabet s nest brings smart devices to australian"" OR ""Product/Service.Launch"" -is:retweet lang:en",40
goog01_product_service_trial_missing_date,alphabet s waymo adds semi trucks to its driverless vehicle por | Product/Service.Trial,,collected,x,,,,1,search/all,"""alphabet s waymo adds semi trucks to its"" OR ""Product/Service.Trial"" -is:retweet lang:en",1
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,,collected,x,,,,50,search/all,"""amazon and whole foods are dropping prices this"" OR ""Product/Service"" -is:retweet lang:en",45
amzn05_facility_open_missing_date,amazon expects to hire at least 1000 at its new troutdale facil | Facility.Open,,collected,x,,,,50,search/all,"""amazon expects to hire at least 1000 at"" OR ""Facility.Open"" -is:retweet lang:en",50
amzn14_salesvolume_increase_salesvolume_missing_date,amazon sold more echo dots than any other item over the holidays | SalesVolume.Increase_SalesVolume,,no_results,x,,,,0,search/all,"""amazon sold more echo dots than any other"" OR ""SalesVolume.Increase SalesVolume"" -is:retweet lang:en",0
amzn06_facility_open_missing_date,amazon to buy whole foods for 137 billion | Facility.Open,,collected,x,,,,50,search/all,"""amazon to buy whole foods for 137 billion"" OR ""Facility.Open"" -is:retweet lang:en",50
amzn03_securityvalue_increase_securityvalue_missing_date,amazon will be a top 5 grocer in the us with whole foods a | SecurityValue.Increase_SecurityValue,,no_results,x,,,,0,search/all,"""amazon will be a top 5 grocer in"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",0
amzn07_product_service_launch_missing_date,amazoncom just crushed department store stocks again with prime | Product/Service.Launch,,collected,x,,,,50,search/all,"""amazoncom just crushed department store stocks again with"" OR ""Product/Service.Launch"" -is:retweet lang:en",50
amd14_securityvalue_decrease_securityvalue_missing_date,amd nvidia stocks fall after analyst warns cryptocurrency mark | SecurityValue.Decrease_SecurityValue,,no_results,x,,,,0,search/all,"""amd nvidia stocks fall after analyst warns cryptocurrency"" OR ""SecurityValue.Decrease SecurityValue"" -is:retweet lang:en",0
amd10_product_service_launch_missing_date,amd radeon vega gets company back into high value gpu markets an | Product/Service.Launch,,collected,x,,,,43,search/all,"""amd radeon vega gets company back into high"" OR ""Product/Service.Launch"" -is:retweet lang:en",43
amd07_securityvalue_increase_securityvalue_missing_date,amd reveals epyc details intel vows to top it | SecurityValue.Increase_SecurityValue,,collected,x,,,,18,search/all,"""amd reveals epyc details intel vows to top"" OR ""SecurityValue.Increase SecurityValue"" -is:retweet lang:en",18
