event,event_label,event_date,thread_source,thread_url,id,parent_id,author,body,score,date,query_used,lang,record_type
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/2018329631481299042,2018329631481299042,2018329631481299042,Eagles_Awards,"🦅 𝗜𝗻𝗱𝘂𝘀𝘁𝗿𝘆 𝗘𝗮𝗴𝗹𝗲𝘀 𝗦𝗽𝗼𝘁𝗹𝗶𝗴𝗵𝘁:  MNB-EduLab Nonprofit Kft. has been awarded Gold – New Product / Service Launch at the Education Eagles Awards for its innovative initiative, Suitcase Museum – Journey around money.
https://t.co/hdsAlkGSlz https://t.co/jssli6SvGs",0,2026-02-02T14:24:17+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,post
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/2016487117489156384,2016487117489156384,2016487117489156384,BrillAwards,𝘾𝙚𝙡𝙚𝙗𝙧𝙖𝙩𝙞𝙣𝙜 𝘽𝙧𝙞𝙡𝙡𝙞𝙖𝙣𝙘𝙚: @rta_dubai  has been awarded the 𝗚𝗼𝗹𝗱 𝗔𝘄𝗮𝗿𝗱 for Best New Product/Service Launch at the 2026 Business Brilliance Awards for Malkia+ 💎 https://t.co/dvFC2VQ7Ut,0,2026-01-28T12:22:47+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,post
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/2016485341067149377,2016485341067149377,2016485341067149377,BrillAwards,𝘾𝙚𝙡𝙚𝙗𝙧𝙖𝙩𝙞𝙣𝙜 𝘽𝙧𝙞𝙡𝙡𝙞𝙖𝙣𝙘𝙚: @LNRailway  has been awarded the 𝗕𝗿𝗶𝗹𝗹𝗶𝗮𝗻𝗰𝗲 𝗔𝘄𝗮𝗿𝗱 for Best New Product/Service Launch at the 2026 Business Brilliance Awards for the launch of its Class 730/2 new trains 💎 https://t.co/pgMNd7X6q5,0,2026-01-28T12:15:44+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,post
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/2016482912611270895,2016482912611270895,2016482912611270895,BrillAwards,𝘾𝙚𝙡𝙚𝙗𝙧𝙖𝙩𝙞𝙣𝙜 𝘽𝙧𝙞𝙡𝙡𝙞𝙖𝙣𝙘𝙚: @GDRFADUBAI  – Dubai has been awarded the 𝗦𝗶𝗹𝘃𝗲𝗿 𝗔𝘄𝗮𝗿𝗱 for Best New Product/Service Launch at the 2026 Business Brilliance Awards for its VIP Yacht Service 💎 https://t.co/ptTJZy6dWi,0,2026-01-28T12:06:05+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,post
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/2008940235091321224,2008940235091321224,2008940235091321224,salimrezaseo,"New Product / Service Launch
#LocalSEO #salimreza https://t.co/a4sOPiGOJ2",0,2026-01-07T16:34:11+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,post
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/2008433992878395620,2008801808077250603,2008433992878395620,Diquestioner,"@OmriBuilds Thinking of a product/service, launch it, try to sell it for even a $1, if someone pays for it, that’s a good start, then try to scale.
Well have to say, the above is the summary of what I’ve learnt from Naval and Dan Koe.",0,2026-01-07T07:24:07+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,reply
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/1998475235616595972,1998895630668935259,1998475235616595972,realswftmedia,@distortedshapes Just quick teaser emails or messages that lead up to the product/service launch email,2,2025-12-10T23:20:30+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,reply
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/1997783758838128983,1997783758838128983,1997783758838128983,planbcreative,"🎄 Product &amp; Service Launch - Website 🚀✨
✨ Day 7 of 24 Days of Christmas ✨Website Launch for a Digital Media Agency. We’re celebrating a launch that blends strategy, creativity &amp; conversion-focused design the brand-new website for a forward-thinking digital media agency. https://t.co/VxGhFSSt3k",1,2025-12-07T21:42:19+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,post
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/1997570478911725905,1997571623298498602,1997570478911725905,BST_ParagonCorp,"@wardahbeauty 🥇 Gold Winner — Lead Gen / CRM [Wardah Beauty AI]

🥇 Gold Winner — Product / Service Launch [Wardah Colorfit Cushion]

🥈 Silver Winner — Omnichannel Marketing https://t.co/TSNZ8m1j3z",5,2025-12-07T07:39:22+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,reply
amd12_product_service_launch_missing_date,2 risks amd investors should nt ignore | Product/Service.Launch,,x,https://x.com/i/web/status/1993275127023444108,1993275127023444108,1993275127023444108,BrillAwards,"💎 𝘾𝙚𝙡𝙚𝙗𝙧𝙖𝙩𝙞𝙣𝙜 𝘽𝙧𝙞𝙡𝙡𝙞𝙖𝙣𝙘𝙚: New Product/Service Launch Finalists ✨

✨ Pan American Energy
✨ The General Directorate of Residency &amp; Foreigners Affairs – Dubai
✨ London Northwestern Railway
✨Road and Transportation Authority
✨ Reggie® Fire Drill https://t.co/bUcVAwHmYn",0,2025-11-25T11:06:38+00:00,"""2 risks amd investors should nt ignore"" OR ""Product/Service.Launch"" -is:retweet lang:en",en,post
