event,source,model,primary_cause,blame_target,causal_confidence
t01_macroeconomics_missing_date,SENTiVENT,openai_gpt4omini,market_structure,no_blame,0.7
t01_macroeconomics_missing_date,SENTiVENT,anthropic_sonnet,market_structure,no_blame,0.8
t01_macroeconomics_missing_date,SENTiVENT,gemini_flash,leadership,no_blame,0.95
t01_macroeconomics_missing_date,X,openai_gpt4omini,macroeconomic,no_blame,0.8
t01_macroeconomics_missing_date,X,anthropic_sonnet,unknown,unknown,0.1
t01_macroeconomics_missing_date,X,gemini_flash,macroeconomic,no_blame,0.9
ba13_securityvalue_increase_securityvalue_missing_date,SENTiVENT,openai_gpt4omini,macroeconomic,no_blame,0.8
ba13_securityvalue_increase_securityvalue_missing_date,SENTiVENT,anthropic_sonnet,regulatory,no_blame,0.9
ba13_securityvalue_increase_securityvalue_missing_date,SENTiVENT,gemini_flash,regulatory,government,0.95
ba13_securityvalue_increase_securityvalue_missing_date,X,openai_gpt4omini,regulatory,government,0.8
ba13_securityvalue_increase_securityvalue_missing_date,X,anthropic_sonnet,regulatory,no_blame,0.9
ba13_securityvalue_increase_securityvalue_missing_date,X,gemini_flash,regulatory,no_blame,1.0
amzn09_product_service_missing_date,SENTiVENT,openai_gpt4omini,market_structure,no_blame,0.8
amzn09_product_service_missing_date,SENTiVENT,anthropic_sonnet,market_structure,no_blame,0.8
amzn09_product_service_missing_date,SENTiVENT,gemini_flash,product,specific_company,0.95
amzn09_product_service_missing_date,X,openai_gpt4omini,market_structure,no_blame,0.7
amzn09_product_service_missing_date,X,anthropic_sonnet,unknown,unknown,0.1
amzn09_product_service_missing_date,X,gemini_flash,product,specific_company,0.5
goog03_product_service_cancellation_recall_missing_date,SENTiVENT,openai_gpt4omini,product,no_blame,0.9
goog03_product_service_cancellation_recall_missing_date,SENTiVENT,anthropic_sonnet,product,no_blame,0.8
goog03_product_service_cancellation_recall_missing_date,SENTiVENT,gemini_flash,product,no_blame,0.85
goog03_product_service_cancellation_recall_missing_date,X,openai_gpt4omini,product,no_blame,0.8
goog03_product_service_cancellation_recall_missing_date,X,anthropic_sonnet,product,unknown,0.3
goog03_product_service_cancellation_recall_missing_date,X,gemini_flash,product,no_blame,1.0
amzn01_securityvalue_increase_securityvalue_missing_date,SENTiVENT,openai_gpt4omini,market_structure,no_blame,0.8
amzn01_securityvalue_increase_securityvalue_missing_date,SENTiVENT,anthropic_sonnet,market_structure,no_blame,0.8
amzn01_securityvalue_increase_securityvalue_missing_date,SENTiVENT,gemini_flash,market_structure,specific_company,1.0
amzn01_securityvalue_increase_securityvalue_missing_date,X,openai_gpt4omini,market_structure,no_blame,0.8
amzn01_securityvalue_increase_securityvalue_missing_date,X,anthropic_sonnet,market_structure,no_blame,0.3
amzn01_securityvalue_increase_securityvalue_missing_date,X,gemini_flash,unknown,no_blame,1.0
aal13_employment_start_missing_date,SENTiVENT,openai_gpt4omini,leadership,executive_team,0.8
aal13_employment_start_missing_date,SENTiVENT,anthropic_sonnet,product,specific_company,0.9
aal13_employment_start_missing_date,SENTiVENT,gemini_flash,product,specific_company,1.0
aal13_employment_start_missing_date,X,openai_gpt4omini,unknown,unknown,0.0
aal13_employment_start_missing_date,X,anthropic_sonnet,unknown,unknown,0.1
aal13_employment_start_missing_date,X,gemini_flash,macroeconomic,government,0.65
aal14_employment_compensation_missing_date,SENTiVENT,openai_gpt4omini,leadership,no_blame,0.8
aal14_employment_compensation_missing_date,SENTiVENT,anthropic_sonnet,leadership,no_blame,0.8
aal14_employment_compensation_missing_date,SENTiVENT,gemini_flash,leadership,no_blame,0.9
aal14_employment_compensation_missing_date,X,openai_gpt4omini,regulatory,government,0.7
aal14_employment_compensation_missing_date,X,anthropic_sonnet,unknown,unknown,0.1
aal14_employment_compensation_missing_date,X,gemini_flash,macroeconomic,specific_company,0.9
cost01_merger_acquisition_missing_date,SENTiVENT,openai_gpt4omini,competitor,specific_company,0.8
cost01_merger_acquisition_missing_date,SENTiVENT,anthropic_sonnet,product,no_blame,0.8
cost01_merger_acquisition_missing_date,SENTiVENT,gemini_flash,product,specific_company,0.9
cost01_merger_acquisition_missing_date,X,openai_gpt4omini,unknown,unknown,0.5
cost01_merger_acquisition_missing_date,X,anthropic_sonnet,unknown,unknown,0.1
cost01_merger_acquisition_missing_date,X,gemini_flash,unknown,executive_team,0.8
pg00_legal_appeal_missing_date,SENTiVENT,openai_gpt4omini,regulatory,government,0.85
pg00_legal_appeal_missing_date,SENTiVENT,anthropic_sonnet,regulatory,government,0.9
pg00_legal_appeal_missing_date,SENTiVENT,gemini_flash,regulatory,government,0.95
pg00_legal_appeal_missing_date,X,openai_gpt4omini,regulatory,government,0.8
pg00_legal_appeal_missing_date,X,anthropic_sonnet,unknown,unknown,0.1
pg00_legal_appeal_missing_date,X,gemini_flash,regulatory,government,0.9
aal01_facility_open_missing_date,SENTiVENT,openai_gpt4omini,macroeconomic,no_blame,0.8
aal01_facility_open_missing_date,SENTiVENT,anthropic_sonnet,market_structure,no_blame,0.8
aal01_facility_open_missing_date,SENTiVENT,gemini_flash,regulatory,no_blame,0.9
aal01_facility_open_missing_date,X,openai_gpt4omini,unknown,unknown,0.0
aal01_facility_open_missing_date,X,anthropic_sonnet,unknown,unknown,0.1
aal01_facility_open_missing_date,X,gemini_flash,macroeconomic,government,0.9
aapl08_legal_proceeding_missing_date,SENTiVENT,openai_gpt4omini,regulatory,specific_company,0.85
aapl08_legal_proceeding_missing_date,SENTiVENT,anthropic_sonnet,regulatory,no_blame,0.9
aapl08_legal_proceeding_missing_date,SENTiVENT,gemini_flash,regulatory,specific_company,0.95
aapl08_legal_proceeding_missing_date,X,openai_gpt4omini,regulatory,specific_company,0.7
aapl08_legal_proceeding_missing_date,X,anthropic_sonnet,unknown,unknown,0.0
aapl08_legal_proceeding_missing_date,X,gemini_flash,regulatory,no_blame,0.9
duk02_investment_missing_date,SENTiVENT,openai_gpt4omini,unknown,no_blame,0.0
duk02_investment_missing_date,SENTiVENT,anthropic_sonnet,unknown,no_blame,0.1
duk02_investment_missing_date,SENTiVENT,gemini_flash,leadership,no_blame,0.9
duk02_investment_missing_date,X,openai_gpt4omini,unknown,unknown,0.0
duk02_investment_missing_date,X,anthropic_sonnet,unknown,unknown,0.1
duk02_investment_missing_date,X,gemini_flash,leadership,no_blame,0.85
