event,event_label,event_type,model,frame_match,emotion_match,stance_match,blame_match,causal_match
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,openai_gpt4omini,1,1,1,1,0
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,anthropic_sonnet,1,1,1,1,0
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,gemini_flash,1,1,1,1,0
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,openai_gpt4omini,1,1,1,1,0
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,anthropic_sonnet,1,1,1,1,1
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,gemini_flash,1,1,1,1,1
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,openai_gpt4omini,0,1,1,1,1
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,anthropic_sonnet,0,1,1,1,0
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,gemini_flash,0,1,1,1,0
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,openai_gpt4omini,0,0,1,1,1
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,anthropic_sonnet,0,1,1,0,0
goog03_product_service_cancellation_recall_missing_date,google leak reveals massive pixel 2 cancellation | Product/Service.Cancellation/Recall,Product/Service,gemini_flash,0,1,1,1,0
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,openai_gpt4omini,1,1,1,1,1
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,anthropic_sonnet,1,1,1,1,0
amzn01_securityvalue_increase_securityvalue_missing_date,jeff bezos fortune continues to soar as amazon stock reaches n | SecurityValue.Increase_SecurityValue,SecurityValue,gemini_flash,1,1,1,1,0
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,openai_gpt4omini,1,0,1,1,0
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,anthropic_sonnet,1,0,1,1,0
aal13_employment_start_missing_date,american airlines pilots agree on solution to staff december f | Employment.Start,Employment,gemini_flash,0,0,1,1,0
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,openai_gpt4omini,1,0,1,1,0
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,anthropic_sonnet,1,0,1,1,0
aal14_employment_compensation_missing_date,american and pilots settle issues after handshake by airline and | Employment.Compensation,Deal,gemini_flash,0,1,1,1,0
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,openai_gpt4omini,0,0,1,1,0
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,anthropic_sonnet,0,0,1,1,0
cost01_merger_acquisition_missing_date,costco adds fresh breads from bakery spurned by starbucks | Merger/Acquisition,Merger/Acquisition,gemini_flash,0,0,1,1,0
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,openai_gpt4omini,0,0,1,1,0
pg00_legal_appeal_missing_date,companies spurned by supreme court on 1 billion michigan tax c | Legal.Appeal,Legal,anthropic_sonnet,0,0,1,1,0
