event,event_label,event_type,tweet_count,x_sentivent_similarity,x_coherence_tfidf,sentivent_self_similarity,alignment_gap,score_mean,score_median,score_p90,word_count_mean,word_count_median,unique_authors,post_share,overall_match_rate,x_llm_kappa
ba02_securityvalue_increase_securityvalue_missing_date,boeing roundup boeing lands deals with saudi arabia | SecurityValue.Increase_SecurityValue,Deal,2,0.4233351708167877,0.963806692286632,1.0,0.5404715214698442,0.5,0.5,0.9,15.5,15.5,2,1.0,,
ba15_securityvalue_increase_securityvalue_missing_date,should boeing buy ge aviation | SecurityValue.Increase_SecurityValue,Merger/Acquisition,10,0.2709655269259163,0.694081592409167,1.0,0.4231160654832507,0.3,0.0,1.0999999999999996,11.3,7.0,10,1.0,,
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,50,0.2391832905336721,0.6620262023893322,1.0,0.42284291185566,23.0,26.0,26.0,20.08,22.0,48,1.0,0.6666666666666666,0.0
ge10_securityvalue_decrease_securityvalue_missing_date,ge s stock tumbles toward second 6 session losing streak this m | SecurityValue.Decrease_SecurityValue,SecurityValue,10,0.2174535994445001,0.8223905700852541,1.0,0.6049369706407539,0.0,0.0,0.0,11.1,11.0,8,1.0,,
gm03_salesvolume_decrease_salesvolume_missing_date,general motors cadillac sales are booming in china | SalesVolume.Decrease_SalesVolume,SalesVolume,12,0.2018165097550305,0.6980958003651873,1.0,0.4962792906101567,0.0,0.0,0.0,11.75,11.0,9,1.0,,
f14_financialreport_miss_missing_date,ford is the next ge and shorts should be salivating | FinancialReport.Miss,Macroeconomics,14,0.1972004655848847,0.7001708672255961,1.0,0.5029704016407113,0.2857142857142857,0.0,1.0,17.0,11.0,14,1.0,,
ge11_securityvalue_increase_securityvalue_missing_date,ge s stock bounces sharply to pace dow gainers | SecurityValue.Increase_SecurityValue,SecurityValue,8,0.1957521729922189,0.8424555401350751,1.0,0.6467033671428561,0.0,0.0,0.0,11.25,8.5,6,1.0,,
ba06_salesvolume_increase_salesvolume_missing_date,aircraft leasing firms lift boeing s dreamliner higher at the p | SalesVolume.Increase_SalesVolume,SalesVolume,5,0.185565445656112,0.7984383524539653,1.0,0.6128729067978533,0.0,0.0,0.0,14.6,14.0,5,1.0,,
dis04_salesvolume_decrease_salesvolume_missing_date,disney s global theme parks saw attendance decline in 2016 bu | SalesVolume.Decrease_SalesVolume,SalesVolume,18,0.1799977451037896,0.7682573740990724,1.0,0.5882596289952827,0.05555555555555555,0.0,0.0,14.166666666666666,14.0,16,1.0,,
abbv13_securityvalue_increase_securityvalue_missing_date,the hot stock biggest loser abbvie wynn resorts | SecurityValue.Increase_SecurityValue,SecurityValue,8,0.1791226313045384,0.8369276176721254,1.0,0.657804986367587,0.125,0.0,0.2999999999999998,15.375,11.0,8,1.0,,
pg05_expense_decrease_expense_missing_date,procter gamble co s proxy fight what investors need to know | Expense.Decrease_Expense,Expense,2,0.1784423454517666,0.8879011958082884,1.0,0.7094588503565218,0.0,0.0,0.0,14.0,14.0,2,1.0,,
nem06_securityvalue_increase_securityvalue_missing_date,newmont mining is investors gold stock to buy | SecurityValue.Increase_SecurityValue,SecurityValue,15,0.1747528046320315,0.7215355140657973,1.0,0.5467827094337657,0.06666666666666667,0.0,0.0,11.6,9.0,13,1.0,,
