event,event_label,event_type,model,source,n_extracted,blame_dominant,causal_dominant,stance_dominant,emotion_dominant,frame_dominant
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,openai_gpt4omini,X,8,no blame,currencies depreciate,not_applicable,neutral,routine_adjustment
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,openai_gpt4omini,SENTIVENT,8,no blame,market forces,not_applicable,neutral,routine_adjustment
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,anthropic_sonnet,X,8,no blame,not applicable,not_applicable,neutral,routine_adjustment
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,anthropic_sonnet,SENTIVENT,8,no blame,not specified,not_applicable,neutral,routine_adjustment
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,gemini_flash,X,8,no blame,money printing by governments,not_applicable,neutral,routine_adjustment
t01_macroeconomics_missing_date,att leapfrogs exxon mobil as largest public company in texas | Macroeconomics,Macroeconomics,gemini_flash,SENTIVENT,8,no blame,no causal explanation provided,not_applicable,neutral,routine_adjustment
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,openai_gpt4omini,X,8,no blame,no causal explanation,not_applicable,confidence,opportunity
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,openai_gpt4omini,SENTIVENT,7,no blame,tax bill,not_applicable,confidence,opportunity
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,anthropic_sonnet,X,8,no blame,tax policy benefits,not_applicable,confidence,opportunity
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,anthropic_sonnet,SENTIVENT,7,no blame,tax policy benefits,not_applicable,confidence,opportunity
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,gemini_flash,X,8,no blame,tax policy,not_applicable,confidence,opportunity
ba13_securityvalue_increase_securityvalue_missing_date,boeing applauds tax bill with 300 million workforce related an | SecurityValue.Increase_SecurityValue,CSR/Brand,gemini_flash,SENTIVENT,7,no blame,tax policy,not_applicable,confidence,opportunity
amzn09_product_service_missing_date,amazon and whole foods are dropping prices this will change gr | Product/Service,Product/Service,openai_gpt4omini,X,8,no blame,market forces,not_applicable,neutral,routine_adjustment
